Indicator_data,case_id,First Tooltip
Life expectancy at birth (years),"Cabo Verde,2015,Both sexes",74.88
Life expectancy at birth (years),"Cabo Verde,2015,Male",72.18
Life expectancy at birth (years),"Cabo Verde,2015,Female",77.59
Life expectancy at birth (years),"Cabo Verde,2010,Both sexes",74.12
Life expectancy at birth (years),"Cabo Verde,2010,Male",70.83
Life expectancy at birth (years),"Cabo Verde,2010,Female",77.27
Life expectancy at birth (years),"Cabo Verde,2000,Both sexes",70.97
Life expectancy at birth (years),"Cabo Verde,2000,Male",66.89
Life expectancy at birth (years),"Cabo Verde,2000,Female",74.61
Life expectancy at birth (years),"Cambodia,2015,Both sexes",69.17
Life expectancy at birth (years),"Cambodia,2015,Male",66.2
Life expectancy at birth (years),"Cambodia,2015,Female",71.89
Life expectancy at birth (years),"Cambodia,2010,Both sexes",67.22
Life expectancy at birth (years),"Cambodia,2010,Male",64.19
Life expectancy at birth (years),"Cambodia,2010,Female",70.01
Life expectancy at birth (years),"Cambodia,2000,Both sexes",58.68
Life expectancy at birth (years),"Cambodia,2000,Male",56.03
Life expectancy at birth (years),"Cambodia,2000,Female",61.24
Life expectancy at birth (years),"Cameroon,2015,Both sexes",59.11
Life expectancy at birth (years),"Cameroon,2015,Male",57.29
Life expectancy at birth (years),"Cameroon,2015,Female",60.99
Life expectancy at birth (years),"Cameroon,2010,Both sexes",56.58
Life expectancy at birth (years),"Cameroon,2010,Male",55.09
Life expectancy at birth (years),"Cameroon,2010,Female",58.09
Life expectancy at birth (years),"Cameroon,2000,Both sexes",52.82
Life expectancy at birth (years),"Cameroon,2000,Male",51.34
Life expectancy at birth (years),"Cameroon,2000,Female",54.35
Life expectancy at birth (years),"Canada,2015,Both sexes",81.76
Life expectancy at birth (years),"Canada,2015,Male",79.88
Life expectancy at birth (years),"Canada,2015,Female",83.58
Life expectancy at birth (years),"Canada,2010,Both sexes",81.31
Life expectancy at birth (years),"Canada,2010,Male",79.26
Life expectancy at birth (years),"Canada,2010,Female",83.27
Life expectancy at birth (years),"Canada,2000,Both sexes",79.1
Life expectancy at birth (years),"Canada,2000,Male",76.54
